Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.883329451084137,0.3765934407711029,0.9470515847206116,0.1468614786863327
2,0.961421549320221,0.11135546863079071,0.9589152932167053,0.11171723157167435
3,0.9696048498153687,0.0775231420993805,0.968441367149353,0.09837452322244644
4,0.9794248342514038,0.05433838814496994,0.9648764133453369,0.10169247537851334
5,0.9862052798271179,0.04129873588681221,0.9668633937835693,0.1010524332523346
6,0.9862052798271179,0.035672735422849655,0.9712465405464172,0.089751236140728
7,0.9920505285263062,0.02334432303905487,0.9708374738693237,0.09562147408723831
8,0.9906476736068726,0.025895196944475174,0.9767985343933105,0.07412407547235489
9,0.9922842979431152,0.022978780791163445,0.9781427383422852,0.0789499282836914
10,0.9925181269645691,0.01955588534474373,0.9752790331840515,0.08807004243135452
11,0.9932195544242859,0.01723729819059372,0.9723569750785828,0.10204622149467468
12,0.9934533834457397,0.018564023077487946,0.9742271304130554,0.08655419200658798
13,0.9950900077819824,0.012733426876366138,0.9773245453834534,0.08459934592247009
14,0.9922842979431152,0.022277258336544037,0.9707790017127991,0.11202051490545273
15,0.9939209818840027,0.024984536692500114,0.9748115539550781,0.08873381465673447
16,0.9943885803222656,0.01616266742348671,0.9750452637672424,0.09232807904481888
17,0.9943885803222656,0.01751505210995674,0.9680907130241394,0.12477349489927292
18,0.9932195544242859,0.019419658929109573,0.9762141108512878,0.08782918006181717
19,0.9983633160591125,0.007251088507473469,0.9698439836502075,0.12390363961458206
20,0.9974281191825867,0.009608072228729725,0.9788440465927124,0.08381099253892899
