Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.8601716160774231,0.4293905198574066,0.9038267135620117,0.2832682132720947
2,0.918145477771759,0.24017035961151123,0.9157573580741882,0.2399485856294632
3,0.9309983253479004,0.19501443207263947,0.9240670800209045,0.2266835868358612
4,0.9415602087974548,0.16783295571804047,0.9336970448493958,0.19331113994121552
5,0.9471129775047302,0.1475827544927597,0.9378033876419067,0.1837151199579239
6,0.9541412591934204,0.130201056599617,0.9395798444747925,0.18030044436454773
7,0.9583349227905273,0.12054400146007538,0.9371917843818665,0.18841412663459778
8,0.9596551656723022,0.1140836551785469,0.9368908405303955,0.20137986540794373
9,0.9638876914978027,0.10172467678785324,0.9408806562423706,0.17752428352832794
10,0.9680037498474121,0.08856535702943802,0.9374538660049438,0.20588567852973938
11,0.9676154255867004,0.08895178884267807,0.941608726978302,0.18674986064434052
12,0.9730905294418335,0.07398848980665207,0.9471809267997742,0.17498531937599182
13,0.973750650882721,0.07155115902423859,0.9426377415657043,0.19744716584682465
14,0.9732069969177246,0.0742567926645279,0.9450937509536743,0.18475964665412903
15,0.9775559902191162,0.06424200534820557,0.9407544732093811,0.20299474895000458
16,0.9783714413642883,0.059007205069065094,0.9421426653862,0.20987066626548767
17,0.9827204346656799,0.05070793256163597,0.9448899030685425,0.20152227580547333
18,0.9803906083106995,0.05329139158129692,0.9482876062393188,0.18887415528297424
19,0.9803129434585571,0.053868457674980164,0.9488603472709656,0.20626744627952576
20,0.9822933077812195,0.050487615168094635,0.9432881474494934,0.2124265432357788
