Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.911308228969574,0.2805538475513458,0.9580639004707336,0.1264670044183731
2,0.9661862254142761,0.08526614308357239,0.9772307276725769,0.061952143907547
3,0.975055456161499,0.06543103605508804,0.9718270897865295,0.06753429025411606
4,0.9800443649291992,0.051235832273960114,0.9785701036453247,0.05512377619743347
5,0.9794900417327881,0.0540819987654686,0.9648993015289307,0.0810692235827446
6,0.9835550785064697,0.044621482491493225,0.9830500483512878,0.04478491470217705
7,0.9852180480957031,0.03435075283050537,0.9736282825469971,0.06899479031562805
8,0.9854028224945068,0.040687885135412216,0.9825882315635681,0.04790283739566803
9,0.9894678592681885,0.029897617176175117,0.9834195375442505,0.04240059852600098
10,0.9896526336669922,0.027382001280784607,0.9842509031295776,0.04297446832060814
11,0.9915003776550293,0.02529560774564743,0.9874376654624939,0.035936854779720306
12,0.9889135360717773,0.028485171496868134,0.9848513007164001,0.041659604758024216
13,0.9902069568634033,0.028045572340488434,0.9830500483512878,0.045200541615486145
14,0.9881744384765625,0.029473574832081795,0.988407552242279,0.033137258142232895
15,0.9946415424346924,0.017858240753412247,0.98845374584198,0.03508814424276352
16,0.9909460544586182,0.022112388163805008,0.9874838590621948,0.03575797379016876
17,0.9935328960418701,0.01730472221970558,0.9884998798370361,0.03510458767414093
18,0.9918699264526367,0.02136780321598053,0.9878071546554565,0.034647732973098755
19,0.9964892864227295,0.010616320185363293,0.98845374584198,0.03216240555047989
20,0.9963045120239258,0.011708991602063179,0.9860982894897461,0.0448574498295784
